name,country,icao,latitude,longitude,elevation,longest_runway,magnetic_variation,airport_type,beacon,fuel_types,landing_fee,oxygen,repairs
MENA INTERMOUNTAIN MUN,United States,KMEZ,34.54538889,-94.20263889,1080,6001,3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MANSFIELD LAHM REGL,United States,KMFD,40.82141667,-82.51663889,1297,9001,-6,Public/civil,TRUE,"JET A-1, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MCALLEN MILLER INTL,United States,KMFE,26.17583333,-98.23861111,107,7120,4,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MARSHFIELD MUN,United States,KMFI,44.63688056,-90.18932778,1278,5002,0,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Minor Engine, Major Engine"
ROGUE VALLEY INTL-MEDFORD,United States,KMFR,42.37422778,-122.8734972,1335,8800,16,Public/civil,TRUE,"80-87 octane, JET, JET A, JET A-1, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ACCOMACK CO,United States,KMFV,37.64687778,-75.76104444,48,5000,-11,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,Major Engine
MICHIGAN CITY MUN-PHILLIPS FIELD,United States,KMGC,41.70331944,-86.82125,655,4100,-3,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,Low Pressure Bottle,Major Engine
DOBBINS ARB,United States,KMGE,33.91444167,-84.51424722,1068,10002,-3,Military/non-civil,TRUE,"Mogas, JET B, JET 5",TRUE,Low Pressure Bottle,Major Engine
MAPLE LAKE MUN-MAVENCAMP,United States,KMGG,45.23599444,-93.98558889,1028,2796,3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
ORANGE CO,United States,KMGJ,41.51181111,-74.26353889,370,5006,-14,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MONTGOMERY REGL,United States,KMGM,32.30063889,-86.39397222,221,9020,-1,Public/civil,TRUE,"80-87 octane, Mogas, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
HARBOR SPRINGS,United States,KMGN,45.42547222,-84.91347222,686,4149,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MOULTRIE MUN,United States,KMGR,31.08491667,-83.80325,294,5129,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,"Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MORGANTOWN MUN-HART,United States,KMGW,39.64359444,-79.91754722,1244,5199,-9,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
DAYTON-WRIGHT BROTHERS,United States,KMGY,39.58897222,-84.22486111,957,5000,-4,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,"Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MITCHELL MUN,United States,KMHE,43.77483333,-98.03861111,1304,6700,4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MANHATTAN REGL,United States,KMHK,39.14123333,-96.67179722,1066,7000,4,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MARSHALL MEML MUN,United States,KMHL,39.0955,-93.20280556,779,5006,3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
METTER MUN,United States,KMHP,32.37397222,-82.08144444,197,5001,-7,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MATHER,United States,KMHR,38.55531111,-121.2972111,98,11301,13,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MANCHESTER,United States,KMHT,42.93280556,-71.43575,266,9250,-15,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MOJAVE AIR AND SPACE PORT,United States,KMHV,35.05894444,-118.1506111,2801,12503,14,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MIAMI INTL,United States,KMIA,25.79536111,-80.29011667,9,13016,-5,Public/civil,TRUE,"100 low lead (LL) octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MINOT AFB,United States,KMIB,48.41576667,-101.3580417,1666,13198,7,Military/non-civil,TRUE,"Mogas, JET B, JET 5",TRUE,"High Pressure, Low Pressure Bottle","Major Airframe, Major Engine"
CRYSTAL,United States,KMIC,45.062,-93.35394444,869,3268,2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
DELAWARE COUNTY  REGL,United States,KMIE,40.24247222,-85.39575,937,6500,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, Low Pressure, Low Pressure Bottle","Minor Airframe, Major Engine"
MIAMI REGL,United States,KMIO,36.90922222,-94.8875,806,5020,4.9,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
SHAFTER-MINTER,United States,KMIT,35.507475,-119.1921333,425,4501,13,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MILLVILLE MUN,United States,KMIV,39.36780556,-75.07222222,85,6003,-11,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Major Airframe, Major Engine"
MARSHALLTOWN MUN,United States,KMIW,42.11275,-92.91777778,975,5007,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
PICAYUNE MUN,United States,KMJD,30.48748611,-89.65119444,55,5000,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
JACKSON MUN,United States,KMJQ,43.65013889,-94.98658333,1447,3591,4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
OCEAN CO,United States,KMJX,39.92604167,-74.29553333,86,5950,-13,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MILLER MUN,United States,KMKA,44.52523889,-98.95807778,1570,3600,7,Public/civil,FALSE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
WHEELER DOWNTOWN,United States,KMKC,39.12294444,-94.59283333,757,6827,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
GEN MITCHELL INTL,United States,KMKE,42.94694444,-87.89705556,729,9990,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MUSKEGON CO,United States,KMKG,43.16948889,-86.23822222,629,6501,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MOUNTAIN EMPIRE,United States,KMKJ,36.89483889,-81.34996667,2558,5252,-6,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MC KELLAR-SIPES REGL,United States,KMKL,35.59988889,-88.91561111,434,6006,-1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
COMANCHE CO-CITY,United States,KMKN,31.92030556,-98.59919444,1387,4497,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MUSKOGEE-DAVIS REGL,United States,KMKO,35.65775,-95.36163889,612,7202,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
BERKELEY CO,United States,KMKS,33.1855,-80.03625,73,4351,-7,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MANKATO REGL,United States,KMKT,44.22277778,-93.91930556,1021,6600,4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MARKSVILLE MUN,United States,KMKV,31.09466667,-92.06905556,79,3799,2,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
MARCO I EXECUTIVE,United States,KMKY,25.99502778,-81.67252778,5,5000,-3,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MELBOURNE INTL,United States,KMLB,28.10275,-80.64525,33,10181,-7,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MC ALESTER REGL,United States,KMLC,34.88238889,-95.78347222,771,5602,2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MILLARD MUN,United States,KMLE,41.19598611,-96.11197222,1051,3801,6,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MILFORD MUNI/BEN AND JUDY BRISCOE FIELD,United States,KMLF,38.42663611,-113.013275,5042,5004,15,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
QUAD-CITY INTL.,United States,KMLI,41.44827778,-90.50752778,590,10002,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
BALDWIN CO REGL,United States,KMLJ,33.154225,-83.24141389,385,5509,-4,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",FALSE,Low Pressure Bottle,Major Engine
WILEY,United States,KMLS,46.42796111,-105.8862222,2630,5680,9,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MILLINOCKET MUN,United States,KMLT,45.64783333,-68.68555556,408,4713,-17,Public/civil,TRUE,"JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MONROE REGL,United States,KMLU,32.51086111,-92.03766667,79,7505,3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MAMMOTH YOSEMITE,United States,KMMH,37.62405556,-118.83875,7135,7000,15,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure Bottle",Major Engine
MC MINN CO,United States,KMMI,35.39919444,-84.56177778,874,6450,-3,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MERIDEN MARKHAM MUN,United States,KMMK,41.50870833,-72.82948889,103,3100,-14,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
SOUTHWEST MINNESOTA REGL MARSHALL/RYAN,United States,KMML,44.45172222,-95.82441667,1183,7221,5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
SELFS,United States,KMMS,34.23144444,-90.28955556,162,3346,1,Public/civil,FALSE,"JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MC ENTIRE JNGB,United States,KMMT,33.92076944,-80.80114167,254,9009,-8,Military/non-civil,TRUE,"JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MORRISTOWN MUN,United States,KMMU,40.79933333,-74.41488889,187,5998,-13,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle",Major Engine
MC MINNVILLE MUN,United States,KMMV,45.19455556,-123.1360556,163,5420,19,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MINDEN,United States,KMNE,32.64602778,-93.29808333,278,5004,4,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,Major Engine
MOUNTAIN VIEW,United States,KMNF,36.99283333,-91.71447222,1182,5005,0,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
SANTEE COOPER REGL,United States,KMNI,33.58711111,-80.20866667,103,3602,-6.6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MENOMINEE REGL,United States,KMNM,45.12668889,-87.63854167,625,5999,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MARION MUN,United States,KMNN,40.61625,-83.06347222,993,5000,-5,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MONROE CO,United States,KMNV,35.54522222,-84.38038889,1031,3643,-4,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
HAMILTON MUN,United States,KMNZ,31.66591667,-98.14863889,1305,4998,7,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MOBILE REGL,United States,KMOB,30.69141667,-88.24283333,219,8502,-1,Public/civil,TRUE,"73 octane, 80-87 octane, JET, JET B, JET 5",TRUE,"High Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MODESTO CITY-CO-SHAM,United States,KMOD,37.62583333,-120.9544167,99,5904,16,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MT PLEASANT MUN,United States,KMOP,43.62163889,-84.73730556,755,5000,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MOORE-MURRELL,United States,KMOR,36.17938889,-83.37544444,1313,5717,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MINOT INTL,United States,KMOT,48.25763889,-101.2780278,1716,7700,10,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MORRIS MUN - CHARLIE SCHMIDT FIELD,United States,KMOX,45.56596944,-95.96718611,1136,4007,2,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,Major Engine
PHILADELPHIA MUN,United States,KMPE,32.79921111,-89.12599722,458,5001,1,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MARSHALL CO,United States,KMPG,39.88083333,-80.73577778,1215,3301,-8,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MARIPOSA-YOSEMITE,United States,KMPI,37.51086111,-120.0395278,2254,3305,15,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Major Airframe, Major Engine"
PETIT JEAN PARK,United States,KMPJ,35.13883333,-92.90919444,923,5852,3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
POCONO MOUNTAINS MUN,United States,KMPO,41.13769444,-75.38005556,1915,5001,-13,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MC PHERSON,United States,KMPR,38.35244444,-97.69133333,1498,5502,6,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
KNAPP STATE,United States,KMPV,44.20348889,-72.56209722,1166,5002,-16,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MT PLEASANT MUN,United States,KMPZ,40.94661111,-91.51116667,730,3997,0,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MACOMB MUN,United States,KMQB,40.52008333,-90.65238889,706,5100,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
DARE CO REGL,United States,KMQI,35.91898333,-75.69553611,13,4305,-9,Public/civil,TRUE,"80-87 octane, JET A, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Minor Engine, Major Airframe, Major Engine"
INDIANAPOLIS REGL,United States,KMQJ,39.84313889,-85.89772222,862,6005,-2,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,"Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
CHESTER CO G O CARLSON,United States,KMQS,39.97897222,-75.86547222,660,5400,-11,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
TELFAIR-WHEELER,United States,KMQW,32.09699444,-82.87940833,203,5000,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
SMYRNA,United States,KMQY,36.00897222,-86.52008333,543,8048,-2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
EASTERN W VA REGL/SHEPHERD,United States,KMRB,39.40235556,-77.983,565,8815,-8,Public/civil,TRUE,"80-87 octane, Mogas, JET, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MAURY CO,United States,KMRC,35.55438889,-87.17913889,681,6000,-1,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MARFA MUN,United States,KMRF,30.37111111,-104.0175278,4849,6203,8,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
SMITH,United States,KMRH,34.73375,-76.66036111,10,5003,-8,Public/civil,TRUE,"80-87 octane, JET A, JET 5",FALSE,"Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
IOWA CO,United States,KMRJ,42.88688889,-90.23666667,1171,5001,0,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
FOOTHILLS REGL,United States,KMRN,35.82022222,-81.61141667,1270,5500,-7,Public/civil,TRUE,"80-87 octane, JET A, JET 5",FALSE,"Unspecified, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
UNION CO,United States,KMRT,40.2245,-83.35163889,1021,4218,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MONTEREY REGL,United States,KMRY,36.58695278,-121.8427833,257,7175,15,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
NORTHWEST ALABAMA REGL,United States,KMSL,34.74530556,-87.61022222,551,6694,-3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
DANE CO REGL-TRUAX,United States,KMSN,43.13987778,-89.33750556,887,9006,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MISSOULA INTL,United States,KMSO,46.91630556,-114.0905556,3206,9501,13,Public/civil,TRUE,"80-87 octane, JET A, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,United States,KMSP,44.88197222,-93.22177778,842,11006,0,Public/civil,TRUE,"80-87 octane, Mogas, JET, JET A-1, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MASSENA INTL-RICHARDS,United States,KMSS,44.93625,-74.84511111,221,5601,-14,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
SULLIVAN CO INTL,United States,KMSV,41.70163889,-74.79502778,1403,6298,-12,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Minor Engine, Major Engine"
ARMSTRONG NEW ORLEANS INTL,United States,KMSY,29.99327778,-90.25902778,4,10104,-1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
SELFRIDGE ANGB,United States,KMTC,42.61389444,-82.83691111,580,9000,-6,Military/non-civil,TRUE,"100-130 octane, Mogas, JET B, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
FLORIDA KEYS MARATHON INTL,United States,KMTH,24.72619444,-81.05136111,5,5008,-4,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Airframe, Major Engine"
MONTROSE REGL,United States,KMTJ,38.50980556,-107.89425,5759,10000,12,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",FALSE,"Unspecified, Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MARTIN STATE,United States,KMTN,39.32566667,-76.41377778,22,6997,-11,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",FALSE,Low Pressure Bottle,"Minor Airframe, Major Engine"
COLES CO MEML,United States,KMTO,39.47788889,-88.27997222,722,6501,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MONTAUK,United States,KMTP,41.07666667,-71.92047222,7,3246,-15,Public/civil,FALSE,JET 5,TRUE,Low Pressure Bottle,Major Engine
BLUE RIDGE,United States,KMTV,36.63075278,-80.01837222,941,5002,-7,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MANITOWOC CO,United States,KMTW,44.12877778,-87.68058333,651,5001,-2,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MUIR AAF,United States,KMUI,40.43523611,-76.56862778,488,3978,-10,Military/non-civil,TRUE,"JET B, JET 5",TRUE,Low Pressure Bottle,Major Engine
MOUNTAIN HOME AFB,United States,KMUO,43.04359722,-115.8724333,2996,13510,13,Military/non-civil,TRUE,"100 low lead (LL) octane, JET A-1, JET B, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure Bottle",Major Engine
MUSCATINE MUN,United States,KMUT,41.36788889,-91.14822222,547,5500,-1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MONROE CO,United States,KMVC,31.45805556,-87.35102778,419,6028,2,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,Major Engine
MONTEVIDEO-CHIPPEWA CO,United States,KMVE,44.96919444,-95.71038889,1034,3999,2,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MONTE VISTA MUN,United States,KMVI,37.52872222,-106.0458889,7611,5901,8,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MORRISVILLE STOWE STATE,United States,KMVL,44.53436111,-72.614,733,3700,-16,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MACHIAS-VALLEY,United States,KMVM,44.70311111,-67.47861111,96,2909,-19,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
MT VERNON,United States,KMVN,38.32336111,-88.8585,480,6496,-1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
MARTHA'S VINEYARD,United States,KMVY,41.39342222,-70.61388333,67,5504,-15,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
VETERANS AIRPORT OF SOUTHERN ILLINOIS,United States,KMWA,37.75497222,-89.01108333,472,8012,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
TIMMERMAN,United States,KMWC,43.11038889,-88.03441667,745,4103,-2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
GRANT CO INTL,United States,KMWH,47.20858333,-119.3191389,1189,13503,18,Public/civil,TRUE,"100 low lead (LL) octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MT AIRY-SURRY CO,United States,KMWK,36.46136111,-80.55321111,1269,5500,-7,Public/civil,TRUE,"80-87 octane, JET A, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MINERAL WELLS,United States,KMWL,32.78160556,-98.060175,974,5996,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
WINDOM MUN,United States,KMWM,43.91341111,-95.1094,1411,3598,3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MIDDLETOWN REGL/HOOK,United States,KMWO,39.53180556,-84.39644444,650,6100,-4,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
